repo,total,abandoned,abandonment_rate
catppuccin/catppuccin,493,10,2.03
typescript-cheatsheets/react,491,0,0.0
react-grid-layout/react-grid-layout,489,33,6.75
electric-sql/pglite,489,26,5.32
captbaritone/webamp,487,34,6.98
coze-dev/coze-studio,479,39,8.14
aidenybai/million,472,0,0.0
chimurai/http-proxy-middleware,453,2,0.44
responsively-org/responsively-app,451,62,13.75
jimp-dev/jimp,449,16,3.56
rybbit-io/rybbit,441,36,8.16
solidjs/solid,434,21,4.84
realworld-apps/realworld,411,5,1.22
wechaty/wechaty,410,16,3.9
Eugeny/tabby,408,31,7.6
upstash/context7,407,22,5.41
openai/openai-node,397,118,29.72
Yeachan-Heo/oh-my-claudecode,395,0,0.0
infinitered/reactotron,389,19,4.88
browseros-ai/BrowserOS,386,27,6.99
carloscuesta/gitmoji,372,7,1.88
srbhr/Resume-Matcher,360,33,9.17
jaredpalmer/tsdx,351,30,8.55
typeorm/typeorm,341,63,18.48
dataelement/bisheng,328,2,0.61
ant-design/ant-design,326,34,10.43
clauderic/dnd-kit,325,9,2.77
meshery/meshery,324,69,21.3
trpc/trpc,287,41,14.29
github/docs,283,31,10.95
linkwarden/linkwarden,277,3,1.08
fosrl/pangolin,268,9,3.36
wojtekmaj/react-pdf,248,8,3.23
Koenkk/zigbee2mqtt,213,0,0.0
Yeachan-Heo/oh-my-codex,194,0,0.0
egoist/tsup,108,31,28.7
Termix-SSH/Termix,101,0,0.0
siyuan-note/siyuan,6,0,0.0
