timestamp,query_name,label,api,complexity,repetition,response_time_ms,response_size_bytes,status_code
2026-06-26T11:02:54.284193,simples_rest,Simples - Buscar pais por ID,REST,simples,54,2.822,167,200
2026-06-26T11:02:54.286952,simples_rest,Simples - Buscar pais por ID,REST,simples,55,2.657,167,200
2026-06-26T11:02:54.289051,simples_rest,Simples - Buscar pais por ID,REST,simples,56,2.007,167,200
2026-06-26T11:02:54.291607,simples_rest,Simples - Buscar pais por ID,REST,simples,57,2.463,167,200
2026-06-26T11:02:54.294491,simples_rest,Simples - Buscar pais por ID,REST,simples,58,2.755,167,200
2026-06-26T11:02:54.298265,simples_rest,Simples - Buscar pais por ID,REST,simples,59,3.639,167,200
2026-06-26T11:02:54.301814,simples_rest,Simples - Buscar pais por ID,REST,simples,60,3.443,167,200
2026-06-26T11:02:54.304129,simples_rest,Simples - Buscar pais por ID,REST,simples,61,2.217,167,200
2026-06-26T11:02:54.306136,simples_rest,Simples - Buscar pais por ID,REST,simples,62,1.917,167,200
2026-06-26T11:02:54.308443,simples_rest,Simples - Buscar pais por ID,REST,simples,63,2.211,167,200
2026-06-26T11:02:54.311788,simples_rest,Simples - Buscar pais por ID,REST,simples,64,3.242,167,200
2026-06-26T11:02:54.314793,simples_rest,Simples - Buscar pais por ID,REST,simples,65,2.867,167,200
2026-06-26T11:02:54.317586,simples_rest,Simples - Buscar pais por ID,REST,simples,66,2.679,167,200
2026-06-26T11:02:54.320474,simples_rest,Simples - Buscar pais por ID,REST,simples,67,2.763,167,200
2026-06-26T11:02:54.323229,simples_rest,Simples - Buscar pais por ID,REST,simples,68,2.651,167,200
2026-06-26T11:02:54.325579,simples_rest,Simples - Buscar pais por ID,REST,simples,69,2.241,167,200
2026-06-26T11:02:54.328378,simples_rest,Simples - Buscar pais por ID,REST,simples,70,2.696,167,200
2026-06-26T11:02:54.331282,simples_rest,Simples - Buscar pais por ID,REST,simples,71,2.799,167,200
2026-06-26T11:02:54.333780,simples_rest,Simples - Buscar pais por ID,REST,simples,72,2.401,167,200
2026-06-26T11:02:54.336070,simples_rest,Simples - Buscar pais por ID,REST,simples,73,2.2,167,200
2026-06-26T11:02:54.338084,simples_rest,Simples - Buscar pais por ID,REST,simples,74,1.931,167,200
2026-06-26T11:02:54.340445,simples_rest,Simples - Buscar pais por ID,REST,simples,75,2.269,167,200
2026-06-26T11:02:54.342959,simples_rest,Simples - Buscar pais por ID,REST,simples,76,2.42,167,200
2026-06-26T11:02:54.345214,simples_rest,Simples - Buscar pais por ID,REST,simples,77,2.167,167,200
2026-06-26T11:02:54.347420,simples_rest,Simples - Buscar pais por ID,REST,simples,78,2.116,167,200
2026-06-26T11:02:54.350562,simples_rest,Simples - Buscar pais por ID,REST,simples,79,2.994,167,200
2026-06-26T11:02:54.353769,simples_rest,Simples - Buscar pais por ID,REST,simples,80,3.076,167,200
2026-06-26T11:02:54.357149,simples_rest,Simples - Buscar pais por ID,REST,simples,81,3.229,167,200
2026-06-26T11:02:54.360358,simples_rest,Simples - Buscar pais por ID,REST,simples,82,3.069,167,200
2026-06-26T11:02:54.363247,simples_rest,Simples - Buscar pais por ID,REST,simples,83,2.772,167,200
