id,nameWithOwner,url,stargazerCount,createdAt,pushedAt,primaryLanguage
MDEwOlJlcG9zaXRvcnkxMzMyNTExMDM=,wagoodman/dive,https://github.com/wagoodman/dive,53497,2018-05-13T15:44:01Z,2025-12-15T17:20:36Z,{'name': 'Go'}
R_kgDOKznBOA,unslothai/unsloth,https://github.com/unslothai/unsloth,53440,2023-11-29T16:50:09Z,2026-03-03T16:29:53Z,{'name': 'Python'}
MDEwOlJlcG9zaXRvcnkxNzIzNzg1MDM=,romkatv/powerlevel10k,https://github.com/romkatv/powerlevel10k,53219,2019-02-24T19:09:45Z,2026-01-28T17:36:42Z,{'name': 'Shell'}
R_kgDONWBgsA,microsoft/ai-agents-for-beginners,https://github.com/microsoft/ai-agents-for-beginners,53201,2024-11-28T10:42:52Z,2026-03-06T19:18:33Z,{'name': 'Jupyter Notebook'}
MDEwOlJlcG9zaXRvcnkxMzcwNzg0ODc=,vuejs/core,https://github.com/vuejs/core,53155,2018-06-12T13:49:36Z,2026-03-06T18:34:59Z,{'name': 'TypeScript'}
MDEwOlJlcG9zaXRvcnk1Njk2OTExNg==,ngosang/trackerslist,https://github.com/ngosang/trackerslist,53102,2016-04-24T11:57:57Z,2026-03-05T23:09:49Z,
MDEwOlJlcG9zaXRvcnkyNDk1MzQ0OA==,google/material-design-icons,https://github.com/google/material-design-icons,52949,2014-10-08T18:01:28Z,2026-03-06T03:06:43Z,
MDEwOlJlcG9zaXRvcnkxNjYzNDY4,mozilla/pdf.js,https://github.com/mozilla/pdf.js,52930,2011-04-26T06:32:03Z,2026-03-06T15:04:04Z,{'name': 'JavaScript'}
MDEwOlJlcG9zaXRvcnk2ODcyMDg2Nw==,firstcontributions/first-contributions,https://github.com/firstcontributions/first-contributions,52865,2016-09-20T14:35:09Z,2026-03-06T20:28:56Z,
MDEwOlJlcG9zaXRvcnkzMTE2ODMzOTA=,WerWolv/ImHex,https://github.com/WerWolv/ImHex,52797,2020-11-10T14:27:00Z,2026-03-04T00:43:49Z,{'name': 'C++'}
R_kgDOOpypRA,Zie619/n8n-workflows,https://github.com/Zie619/n8n-workflows,52562,2025-05-14T08:43:59Z,2026-02-11T15:41:17Z,{'name': 'Python'}
MDEwOlJlcG9zaXRvcnkzNDMyMjY2,JetBrains/kotlin,https://github.com/JetBrains/kotlin,52426,2012-02-13T17:29:58Z,2026-03-06T20:53:37Z,{'name': 'Kotlin'}
MDEwOlJlcG9zaXRvcnkxMjI1NjM3Ng==,ionic-team/ionic-framework,https://github.com/ionic-team/ionic-framework,52386,2013-08-20T23:06:02Z,2026-03-06T18:04:35Z,{'name': 'TypeScript'}
MDEwOlJlcG9zaXRvcnkyODQwMDgwODc=,cloudcommunity/Free-Certifications,https://github.com/cloudcommunity/Free-Certifications,52345,2020-07-31T10:26:19Z,2025-07-22T03:37:50Z,
MDEwOlJlcG9zaXRvcnkyNjkzMzYxNDg=,sickcodes/Docker-OSX,https://github.com/sickcodes/Docker-OSX,52231,2020-06-04T11:01:37Z,2025-11-11T05:23:57Z,{'name': 'Shell'}
